CampaignPromises,DetailActivities,ManifestoReference,ElectedOffficial,ProgressStatusComments,ReferencedDocuments,ProgressStatus
"Improving Road Transportation","The New Direction will ensure that all towns and villages are connected by well-designed and safe roads to spur economic development and create linkages to markets. The SLPP government will plan, develop and implement infrastructure in Sierra Leone on an integrated, holistic and cross-sectoral development basis. In addition, full utilization will be made of inter-modal transport development. This approach will ensure inclusiveness and that the money spent on infrastructure development will bring about radical and major development across all sectors, thereby meaningfully transforming the lives of the people of Sierra Leone. For example, wherever a new road is constructed under the SLPP government, provisions will be made to ensure that along the same road corridor or alignment, there is a pipeline for fibre optic to improve ICT connectivity, or a pipeline for water to provide clean drinking water, transmission lines to transmit electricity to provide power and adequate electricity, industrial development such as manufacturing plants and factories, to provide jobs to improve the economy, agro-processing plants to ensure food security, access to other modes of transport such as in-land waterways, and rail and air access (as part of our future development plan). Therefore, by using this approach the construction of a single road will radically transform Sierra Leone by ensuring cross-sectoral and integrated infrastructure development. This will justify the amount spent on building the road rather than the current silo effect perpetuated by the APC government. Specifically, the SLPP administration will:

Promote and implement a holistic integrated infrastructure and sectoral development programme that will maximize the utility and effectiveness of infrastructure, thus greatly contributing to the overall socio-economic development of the country regardless of region.
	Work collectively with the members of the MANO River Union (Liberia, Guinea and Cote D’Ivoire - CLSG) to develop further the sub-regional infrastructure Master plan particularly, in the Energy, Transport (Rail, Air, Sea) and ICT sectors, so that Sierra Leone’s obligations are met within the time frames established.
	Conduct an Infrastructure Audit and Value Engineering of all completed, incomplete, and planned infrastructure projects in last 10 years to ascertain the technical integrity of all the projects to ensure their safety and sustainability as well as their value for money
	Address the current traffic congestion in Freetown not only by the construction of new roads but also by employing proven and practical traffic engineering mitigation measures such as the use of actuated traffic light signals, directional traffic flows, channelization, the use of pedestrian only roadways, commercial vehicles only-roadway, peak and off-peak traffic directional flows, and effective traffic enforcement.
	Explore other modes of transport within Freetown and the Western Area such as the construction of jetties and ferry terminals at strategic locations for commercial ferry and boat transport.
	Explore the use of rail transport as part of the rail network to be connected to the West African Rail Network.
	Pave all roads linking district capital towns.
	Use of automated traffic signalization at key intersections in the cities of Freetown, Bo, Makeni and Kenema
	Build wider roads and flyovers and under-passes to bridge gaps in the road network in view of easy East-West linkages in Freetown.
	De-politicise the management of the Road Maintenance Fund and ensure funds are available in a timely manner for the works.
	Explore the possibility of constructing a toll bridge to link Freetown with Tagrin
	Devolve maintenance of township roads and feeder roads to local councils and especially provide requisite funding.
	Promote the use of non-motorized transport (such as pushcarts and bicycles) in rural communities while developing busing services for mass transit in urban areas.
	Complete a four lane express road from West to East Freetown within five years. Widen selected roads and build new flyovers at key junctions of Lumley, Congo Cross, Model, Eastern Police, Up Gun and Cline Town.
	Increase public bussing services to all areas: 18 hours service a day.
	Develop large transit centers at Masiaka, Rogbere Junction, Mile 91, Taiama, Moyamba, Bo and Makeni with facilities for accommodation, showers, toileting and restaurants.
	Provide more mass transit facilities, especially by buses in large urban areas like Freetown, Bo, Kenema and Makeni.
	The Road Safety Authority (SLRSA) will work more symbiotically with SLRA to ensure the death traps in our roads and sidewalks are eliminated, while improving on traffic flows at major intersections.
	Ban the illegal use of unworthy and unlicensed articulated trucks on all major trunk roads after 1800 hours including heavy fines for the owners and drivers and seizure and confiscation of such vehicles
	Ban the use of extra fog lights on all big trucks save those originally manufactured and affixed to such trucks","Improving Transport","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Improving Energy Supply","In the New Direction, the SLPP Government’s objective will be to provide energy in sufficient quantities to all regions of the country to permit the continuous realization of the developmental goals of industry and the general population. The specific actions are to:

Restore electricity supply to all district capitals • Initiate a rural electrification programme that will supply electricity to all towns with population exceeding 20,000
	Institute a Rural Electricity Board and a Rural Electricity Fund to promote electrification of rural areas with a view to making electricity readily and widely available in rural areas.
	Each year, at least five villages and two towns in each district join the national grid or are connected off-grid on standalone solar or mini-hydro schemes.
	Massive investment in renewable energy potential of the country in the areas of solar, hydro, wind and biomass
	Promote the use of renewable and modern forms of energy like Liquefied Petroleum Gas (LPG)
	Encourage the start of min-hydro schemes, solar energy schemes and provide special financial incentives to companies in this sector • Enhance female access to modern energy by investing in rural electrification, clean cooking fuel (propane gas) and household energy needs.
	Encourage mining companies and other major industries to sell excess power to the national grid for the supply of power to the communities in which they operate and other contiguous areas.
	Review and strengthen the institutional capacity of the regulatory Agency for the water and electricity sectors
	Promote energy efficiency measures nationwide • Follow up on the reform of the power sector including connection in the West African Power Pool","Improving Energy","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Diaspora Affairs","In the New Direction, the SLPP will:

Examine the laws relating to dual citizenship with a view to allowing Sierra Leonean Diaspora to fully participate in the politics of Sierra Leone
	Move the Office of Diaspora Affairs to the Ministry of Development and Economic Planning
	De-politicise the staffing and management of Diaspora affairs
	Mobilize highly skilled Sierra Leoneans for knowledge and skills transfer to Sierra Leone through volunteer services or short-term consultancy services or partnership between local and Diaspora professionals organizations
	Mobilize and leverage Sierra Leonean Diaspora business communities for investment and trade in Sierra Leone
	Study and develop mechanisms to facilitate investment and transfer of funds from the Diaspora in collaboration with Sierra Leonean financial institutions
	Develop interactive mechanisms and special incentives for Sierra Leonean Diaspora Business communities
	Encourage Sierra Leonean Diaspora to form professional fora abroad.
	Improve on the consular services to the Sierra Leonean Diaspora
	Build development funds targeting specific sectors of the economy and work with Diaspora or their representatives to be part of the implementation process.
	Take necessary measures to enable Sierra Leoneans in Diaspora to vote overseas in public elections
	Work with a host of countries to promote the interest and rights of Diasporas and allow them access jobs.","Diaspora Affairs","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Promoting Press Freedom and Strengthening Civil Society Organisations (CSOs)","In the New Direction, the next SLPP administration will introduce the following reforms for the common good:

Repeal the seditious libel law
	Adopt policies and laws to develop the capacity of journalists
	Support the School of Journalism and other institutions to train journalists
	Provide funding opportunities for journalists to establish press houses as corporate entities ·
	Encourage the private sector to invest in the media
	Provide a budgetary subvention to SLAJ
	Enhance the capacity of the IMC to enforce the IMC Act
	Review the legal and operational status of the Sierra Leone Broadcasting Corporation SLBC to make it a truly professional national broadcaster
	Facilitate full implementation of Right to Access Information Act
	Provide an opportunity for non-state actor quota to be reflected in aid received by the State from donors
	Review donor funding architecture to establish a level playing field for NGOs and CSOs.
	Streamline government operations especially in the Office of the President with a view to making it leaner, smarter, efficient and effective.
	Strengthen existing donor guidelines by ensuring that the Office of NGOs in MoFED is independent and effective.
	Reduce registration burden on non-state actors by eliminating multiple registration requirements.","Promoting Press Freedom and Strengthening Civil Society Organisations","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Foreign Affairs and Diplomacy","In the New Direction, the next SLPP government will place the highest premium on development and economic diplomacy as a core national interest. To this end, the location of existing and the establishment of new Embassies/Missions will be rationalised in order to achieve the greatest benefits consistent with the national interests of our country. In the New Direction, the SLPP government will:

Elaborate a new robust foreign policy for Sierra Leone with a clearly focused reorientation that will de-emphasize dependence on foreign aid in favour of promoting favourable development and trade relations consistent with evolving global trends and anticipated outcomes for national economic development
	Restructure the Foreign Ministry to fully reflect the new national policy objectives
	Take appropriate measures to introduce professionalism in the Foreign Ministry by injecting and maintaining the highest degree of careerism starting with the recruitment and training of very high calibre personnel as diplomats to be identified from amongst the best University graduates. This is aimed at rebranding the Foreign Ministry in order to introduce greater efficiency and effectiveness in the diplomatic service of the country and the recruitment of staff will not be encumbered by factors other than those that will ensure the highest degree of competence and professionalism
	Evaluate our foreign embassies and missions for rehabilitation, upgrading and revitalizing
	Screen and evaluate all consular personnel and introduce performance criteria consistent with national development outcomes
	Support Research and Documentation to equip Foreign Ministry personnel with quality information at all times
	Support training schemes to enable our diplomats acquire second and third language proficiencies
	Raise the level of representation and performance in the organs of the Economic Community of West African States (ECOWAS), and the African Union (AU) and maintain full commitment for the domestication of all relevant international treaties and protocols
	Maintain and strengthen national commitments to the Commonwealth, NonAligned Movement and the United Nations and all other multilateral organisations
	Taking into account Brexit, develop a new development and foreign policy approach with the European Union","Foreign Affairs and Diplomacy","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Constitutional Reform","The next SLPP Government will maintain an unflinching fidelity to the 1991 Constitution and will give it every opportunity to grow and mature fully in its observance consistent with the will of the people before contemplating any wholesale review. In the meantime, weaknesses, shortcomings and other lacunae that manifest themselves in the course of application of the terms of the Constitution will be remedied by way of specific amendments of its relevant parts in order to give efficacy to the promotion and protection of good governance and respect for the Rule of Law at all times. To this end the next SLPP Government will:

Encourage citizens' participation in a strategic review exercise for swift amendments
	Engage state and non-state actors in identifying thematic areas of the constitution for review
	Undertake public education to underpin respect for the Constitution and the Rule of Law at all levels of society","Constitutional Reform","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Strengthening Democratic Institutions","The next SLPP administration will ensure that all national democratic institutions are put back on track as a matter of urgency by restoring their autonomy, creating the necessary enabling environment to execute their statutory mandate and to serve the people well. Specifically, the new SLPP government will:

Review laws and policies guiding the functioning of democratic institutions with a view to restoring their autonomy and independence
	Increase the role of non-state actors in the management of democratic institutions
	Increase the transparency of the operations of democratic institutions
	Develop the capacities of democratic institutions through adequate funding, qualified and competent human resources as well efficient and effective systems and procedures
	Support the budgetary needs of democratic institutions without seeking to control their operations.","Strengthening Democratic Institutions","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Deepening Decentralisation and Strengthening Local and Chieftaincy Councils","In the New Direction, the SLPP government will:

Review the National Decentralisation Policy and amend the Local Government Act 2004
	Complete the devolution of functions within the first one year
	Reorganize the Local Government Service Commission and provide it with the relevant policy and regulatory tools, financial and organizational support to position it like its counterpart, the Public Service Commission
	Review the local government grant making mechanism with a view to ensuring that the initial principles underpinning it (equity, need, lack of capacity to raise adequate own/local resources and even development across the country) forms the basis of computation, allocation and distribution of all grants irrespective of location and partisan composition
	Allocate a standing Block Grant to support a scheme that will focus on performance
	Bring chiefdom governance in line with local governance and make chiefdom structures play a major role in the decentralised service delivery process
	Restore the dignity of Paramount Chiefs and bring them back to the centre stage of national governance with rights and obligations fully recognized and respected
	Define new conditions of service for Paramount Chiefs and most essential chiefdom staff with a view to building capacity for future challenges
	Provide mobility for Paramount Chiefs to facilitate outreach and the performance of their roles.
	Harmonize the relationship between Local Councils and Council of Paramount Chiefs to ensure mutual respect and trust for effective service delivery
	Restore the dignity and prestige of Paramount Chiefs by improving their conditions of service and making them an integral part of the local governance development process.
	Construct official residence for all Paramount Chiefs
	Review the Revenue Schedule to achieve clarity in the areas of responsibilities and roles of the different agents within the decentralization process
	Reintroduce the Development Grant Allocation to Councils and increase the percentage of National Budget Allocation to Councils commensurate with their devolved responsibilities
	Ensure that staff of MDAs managing the devolved sectors are supervised and controlled by the Local Councils.
	Ensure that the salaries and other conditions of service of Local Council staff are aligned with the conditions of service of the Civil Service Commission
	Ensure that Local Council staff have the opportunity of serving at the central level and vice versa  Take steps to entrench local governance in any revised National Constitution","Deepening Decentralisation and Strengthening Local and Chieftaincy Reform","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Advancing Rule of Law, Promoting Justice and Human Rights","The New Direction government will as a matter of utmost urgency undertake an overhaul of the judiciary and the justice delivery system in the country with a view to restoring public confidence in its independence and impartiality and make justice accessible and available for all. Specifically, the next SLPP government will:

Facilitate a national dialogue on 'A New Justice and Rule of Law System for 21st Century Sierra Leone.” This will lead to the preparation of a comprehensive Capacity Building Plan for the Justice Sector and increase budgetary allocations to the justice sector
	Introduce legislative measures to further reinforce the independence of the justice system and reforms to demystify the law to expand access to justice
	Train a cadre of 'paralegals' to support the sector in the country's extreme rural communities where the services of trained legal practitioner's currently pose a huge challenge.
	Strengthen and capacitate the Legal Aid Programme to continue to provide legal aid services to our indigent and vulnerable citizens
	Promote social dialogue with the Sierra Leone Bar Association to enhance effective and efficient judicial service delivery.
	Consider the necessity to pursue a claim for international reparations arising out of the Civil War
	Strengthen the Judicial Service Commission for the effective management of an independent justice system and for raising it to recognized international standard.
	Make justice easily accessible by 'Tooling and Equipping' of the entire Justice sector – from police to the Supreme Court' through comprehensive capacity building.
	Ensure effective partnership between justice sector and civil society
	Ensure that the Law Reform Commission is adequately resourced and strengthened to execute its mandate.
	Promote and protect fundamental human rights by establishing specialized Human Rights Courts in the judicial system and enforce a right based Bail and Sentencing policy.
	Request technical assistance from the Commonwealth for augmentation of the justice system
	Review legal education and promote measures for establishing an effective, fair and independent regulation of legal education and practice in Sierra Leone
	Separate the role of Minister of Justice from the office of Attorney-General","Advancing Rule of Law, Promoting Justice and Human Rights","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Strengthening and Repositioning the Civil Service","The New Direction will strengthen and modernize the Civil Service for effective and efficient service delivery. In the New Direction, the principal objective will be to restore the professionalism and efficiency of the civil service. Specifically, the SLPP government will:

Reinforce political commitment and provide strong leadership in the reform agenda
	Rationalize the structure of the public service with a view to having a clear political leadership and direction.
	Restructure the Human Resources Management (HRM) Office by creating the necessary departments that will be staffed by career Human Resources Officers with the right competencies and skills with a view to modernizing the Civil service to face the challenges of the 21st century.
	Develop a new architecture of State governance and a national civil service organogram.
	Review the Civil Service Code and Regulations
	Establish a National Civil Service Capacity Enhancement scheme.
	Reintroduce and scale-up 'hire purchase scheme' and housing scheme for serving members of the Civil and related services to enable them to acquire capital items (with values consistent with their official emoluments).","Strengthening Repositioning the Civil Service","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Improving Security Governance for Development","The New Direction will seek to build TRUST between citizenry and security forces.

We will build on the progressive reforms of the security sector that commenced after the end of the war, with a focus on professionalization, de-politicisation and equipping of all forces and agencies for effective service delivery. Specifically, we will:

Improve the conditions of service of all service men and women.
	Ensure recruitment, promotions, transfers and deployment of service personnel are conducted in a fair and transparent manner taking due account of professionalism.
	Re-introduce community screening of recruits into the RSLAF and SLP.
	Provide adequate housing for RSLAF and SLP service men and women and their families.
	Make fully functional the Air Force and Navy as part of the Tri-Service of our RSLAF.
	Work towards mechanizing and modernizing the RSLAF to enable them generate revenue to contribute to nontraditional military functions such as relief, disaster interventions, agriculture and construction.
	Upgrade healthcare for service, ex-service men and women and their families
	Provide subsidised education support for all RSLAF and SLP officers and their children intending to pursue professional higher education at national institutions.
	Ensure a more transparent and value-added participation of our security sector in peacekeeping missions around the world.
	Review all allowances of men and women serving in UN Peacekeeping Missions to bring them in line with new increases by the UN and ensure that they are paid at their duty post.
	Take immediate steps to decongest our prisons and institute reforms in the areas of pre-trial detention, prison management and sentencing.
	Develop an updated fire policy with attendant regulations and guidelines for the fire force.
	Establish and equip fire force services at district headquarters
	Remove disaster management from the Office of National Security and establish a national specialized agency for disaster preparedness and management.
	Set up an integrated immigration network system linking key border posts with the immigration headquarters in Freetown to facilitate data processing and storage.
	Increase support to the civil registration system.
	Institute measures to create a National Immigration Service with a view to making it semi-autonomous in the discharge of some of its functions.
	Reverse Sierra Leone's image as an easy target for money laundering and drug transhipment.
	Review the laws against drug trafficking with a view to empowering the state to seize and forfeit assets of drug traffickers to meet national and international obligations.","Improving Security","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Fighting Corruption and Improving Accountability","In the New Direction, the SLPP government will treat corruption not only as a governance issue but as a national security threat. It will therefore leave no stone unturned in its fight against corruption. In particular, the New Direction will:

Review within the first 100 days the ACC Act to include the publication of all assets declaration forms of all public officials before they take office and upon leaving office.
	Commit the political leadership to lead in the fight against corruption
	Review the relevant provisions of the Constitution of Sierra Leone 1991 (including Section 119 in particular) and the ACC Act to strengthen the ACC’s investigative and prosecutorial mandate with respect to audit reports tabled by the ASSL before
	Parliament to give it powers to proceed without the need to wait for Parliamentary investigations
	Develop value systems and implement a robust merit and reward system in public and private life.
	Categorize corruption and measure it in terms of its economic costs to the nation such as low, medium, high and very serious, in a manner that attracts harsher and stiffer penalties for more serious infractions.
	Ensure the full implementation of all recommendations in annual audits of the ASSL and of Ministries, Departments and Agencies.
	Commit to adhering to and implementing the Access to Information Act to deepen the fight against corruption.
	Adopt a new framework to ensure accountability and transparency in the public sector in the form of National Public Sector Transparency and Accountability Initiative (NAPSTAI) to subject the public sector to more scrutiny by civil society and development partners.
	Provide support to CSOs to enhance their capacity to prepare appropriate shadow reports on issues of transparency and corruption.
	Enhance inter-agency cooperation at the local and national government levels to prevent, detect and punish corrupt practices.
	Set up a system for planning, monitoring and reporting on Development Results referred to as Results-Based Management (RBM) wherein development targets will be set at the start of each year and senior managers will be accountable for delivering on these results.
	Improve social accountability in which public officials and non-state actors will give account of their stewardship.
	Strengthen Public Expenditure Tracking Survey (PETS), District Budget Oversight (DBO) by citizens.
	Popularize and enforce a comprehensive code of conduct for public officials to regulate their conduct whilst in public office.
	Establish a special anti-corruption division in the High Court to promote judicial specialization and expeditious trial of corruption cases.","Fighting Corruption and Improving Accountability","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Building and Promoting National Cohesion","The New Direction SLPP Government will make every citizen of Sierra Leone to feel and believe they are an integral part of an inseparable and indivisible country. It will promote inclusive politics, inclusive governance and inclusive development as the only guarantor for enduring peace and security.

The next SLPP Government will launch a Presidential Initiative that will be heralded by a national conference on diversity management and rebuilding of national cohesion. Specifically, we will:

Initiate policy reforms to ensure that Sierra Leoneans are free to live and work anywhere in the country regardless of tribe, region and other considerations. In this regard, the template requirement on all official documents that identifies the ethnic identity of individuals will be expunged.
	Fully implement the national youth service scheme where young people from one part of the country will be cross-posted to other parts for their national youth service. 
	Encourage all political parties to undertake initiatives aimed at diversifying their membership across regional and ethnic divides","Building and Promoting National Cohesion","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Protecting and Empowering our Workers","In the new Direction, the next SLPP Government will adopt a Sierra Leonean First Policy wherein the interest of Sierra Leoneans will be first. The next SLPP Government will:

Implement the Local Content Act
	Review existing mechanisms issuing and enforcing work permits with a view to creating opportunities for Sierra Leoneans to hold positions for which they are qualified and make the monitoring of people issued work permits more effective
	Review all laws, regulations and agreements to ensure that apart from statutory social security benefits, employers have in place medical and insurance policies consistent with international best practice
	Train Sierra Leoneans either by way of a buddy system, having them as counterparts or other alternatives that ensure that skills transfer is enhanced
	Include in agreements with foreign firms the requirement to fund critical skills
	Domesticate (where necessary) and enforce core labour standards adopted by the International Labour Organisation (ILO)
	Strengthen the industrial court and ensure that all labour related disputes are speedily tried
	Establish a Minimum Wage Board comprising Government agencies and private agencies with the primary responsibility of setting minimum wage at regular intervals 
	Capacitate the Ministry of Labour to enable it to monitor and enforce the labour laws, policies and regulations effectively
	Review and adopt corporate governance code setting out the key principles relating to ethical and sustainably managed organizations
	Collaborate effectively with the Sierra Leone Labour Congress and relevant Trade Union organisations within the Congress to promote social dialogue to ensure industrial peace and maintain harmonious industrial relations in the country
	Conduct a comprehensive systems audit that will entail financial, procurement, technical and management audits and an audit of all its investments with a view to restructuring NASSIT and making it more effective and efficient
	Review the NASSIT Act and restructure the institution to make it more efficient and effective for achieving its objectives.","Protecting and Empowering our Workers","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Sexual Violence","Review and increase budgetary resources for the implementation of the Sexual Offences Act of 2012.
	Strengthen the capacity of the Ministry of Social Welfare, Gender and Children’s Affairs (MSWGCA) and national NGOs to provide psychosocial services to all victims
	Strengthen knowledge of the referral pathway of sexual abuse
	Stigmatization of perpetrators of sexual violence
	Increase the capacity of the FSU, the Ministry of Justice and the judiciary to investigate and prosecute reported cases and punish the perpetrators without any exception, including by not accepting any out-of-court settlements in such cases
	Strengthen protection, rehabilitation and reintegration support for victims of sexual abuse.","Protecting our Children","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Teenage Pregnancy","Review and implement the Teenage Pregnancy Strategy
	Strengthen Teenage Pregnancy Secretariat
	Design and launch a national programme on adolescents and sexual and reproductive health
	Increase opportunities for pregnant girls and teenage mothers to have access to education through appropriate means.","Protecting our Children","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Child Marriage","Design policies, harmonise and standardise laws to combat child marriage
	Develop a national strategy to combat child marriage
	Provide protection, rehabilitation and reintegration support for victims of child marriage
	Make school attendance for children legally compulsory and penalise parents/guardians who wilfully flout the law","Protecting our Children","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Children Deprived of Family Environment","Carryout a nationwide survey of children without care and protection, including children living in the street
	Review, adopt and implement the draft Child Welfare Policy, ensuring that vulnerable families are given support to take care of their children and address violence against children in the home
	Strengthen the capacities of the MSWGCA and city and district councils to fully implement the Alternative Care Policy on street children
	Amend the laws regulating adoption laws and ensure that measures are put in place for legal procedures for adoption","Protecting our Children","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Child Trafficking","Review the 2005 Trafficking in Person Act and include sufficiently stringent sentences that include longer term imprisonment
	Increase efforts to arrest, prosecute and convict traffickers, including addressing procedural delays and judicial corruption as well as ensuring survivors’ safety and enabling their participation in judicial processes, both to increase prosecution rates and offer survivors compensation
	Train prosecutors and judges to investigate and prosecute trafficking cases
	Enact the Protocol to Prevent, Suppress, and Punish Trafficking in Persons, especially Women and Children, supplementing the United Nations Convention against Transnational Crime (2000).","Protecting our Children","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Child Labour","Review and enforce laws relating to child labour
	Develop a comprehensive strategy/policy to address child labour in all its forms and ensure that there are increased opportunities for children to access quality education
	Strengthen the Local Councils to monitor and ensure the implementation of Child Labour Policy and/or Strategy","Protecting our Children","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Juvenile Justice","Develop and implement a new comprehensive law on juvenile justice, particularly ensuring child justice;
	Provide training for all professionals and personnel dealing with children in conflict with the law, including police, social workers, probation officers, magistrates and judges
	Develop community-based rehabilitation and reintegration programmes for juveniles in conflict with the law, thereby lessening the risk of recidivism
	Rehabilitate places of deprivation of liberty for children and equip them with psychosocial and educational programmes","Protecting our Children","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Protecting Persons Living with Disability and our Aged","In the New Direction, the SLPP government will:

Review and implement policies and laws relating to disability, especially making public facilities disability friendly.
	Revisit the administration and implementation of the Social Safety Net Programme
	Provide free education for the physically challenged at all levels pre-school, primary, secondary and tertiary level
	Review and improve incentives for Teachers in Special Needs Institutions.
	Provide free health care for the physically challenged and the aged
	Increase access of persons living with disability and aged to public housing
	Provide welfare assistance to persons living with disability and the aged
	Provide livelihood support to persons living with disability for economic empowerment.","Protecting Persons Living with Disability and Our Aged, Empowering our Youth, Women and the Disadvantaged","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Empowering our Women","In the New Direction, we will promote gender equality, equity, empowerment, and the protection of the rights of women either as mainstreamed interventions, or as stand-alone initiatives. Our specific actions will be to:

Provide training and educational opportunities for our women
	Establish a Women’s Development Fund to support female entrepreneurs
	Promote women in agriculture through direct support to them for large-scale farming and agro-processing activities; providing market information about local and export markets and facilitate the exporting of farm products; providing improved facilities for fish processing and poultry, and promoting female access to land and other strategic resources
	Enhance female access to modern energy by investing in rural electrification, clean cooking fuel and household energy needs.
	Make amendments to the procurement laws that would give preferential treatment to performing female contractors
	Provide support for women’s led organization in rural areas to participate in economic and political activities.
	Provide free education to women pursuing sciences, engineering and medical disciplines at university.
	Establish a National Commission for Gender Affairs to develop, co-ordinate, monitor and support the implementation of gender laws and policies
	Improve expertise in the field of gender by supporting training programmes for gender in institutions
	Domesticate and implement national and international instruments in support of women empowerment.
	 Increase the chances of women in politics through:
	Amendment of the 1991 Constitution of Sierra Leone with a view to increasing the chances of women to participate in politics.
		Make mandatory for all political parties to enact gender policies that will specify among other things a threshold for women in executive positions and local councils and parliamentary positions.
		Review and enact the minimum 30% Quota Bill which creates the chance for women to hold 30% of positions in elective and appointive positions.
		Provide training and funding for female candidates for public elections","Empowering our Women, Empowering our Youth, Women and the Disadvantaged","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
Sports,"In the New Direction, the SLPP government will:

Review the policy and legal environment for sports development
	Increase budgetary support to sporting activities, in particular football, athletics, cricket, volley ball and basketball.
	Establish a Sports Development Fund that will be financed from various sources, including corporate establishments and international sporting organizations and Government
	Develop and implement a comprehensive capacity building programme for all sporting disciplines
	Reactivate school and community sporting activities with a view to identifying and developing talents for national and international competitions
	Recommence national competition for all sporting activities
	Establish sports academies and provide facilities for sports development and recreation around the country
	Develop the administrative, technical and support services for sports.
	Build standard stadium facilities in all regions and Western Rural to enhance the capacity of Sierra Leone","Empowering our Youth, Empowering our Youth, Women and the Disadvantaged","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Music and Performing Arts","Review and enforce the copyright laws.
	Review policies and establish standards for promotion of music and performing arts.
	Establish institutions and introduce training at vocational and university level in music, film and video production.
	Establish an Arts Gallery and Theatre for Performing Arts in all regional capitals.
	Promote Sierra Leonean music and musicians nationally and internationally and maintain good business ethics in the industry.
	Re-establish and develop cultural village.","Empowering our Youth, Empowering our Youth, Women and the Disadvantaged","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Public Works","In the New Direction, the SLPP Government will increase investment in housing and public works to create jobs for youth through:

Train youths in the use of local materials and the use of appropriate technology for housing construction
	Design and implement a national programme for housing and urban renewal programme in all local councils for the improvement of roads, drainages, bridges, general sanitation and poor environmental management for job creation","Empowering our Youth, Women and the Disadvantaged, Empowering our Youth","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Economic Empowerment","Establish a special Youth Empowerment Fund to support youth engaged in small and medium scale entrepreneurial ventures.
	Promote youth engagement in agriculture through the provision of direct support in the form of finance, market information, technology and technical advice to youth (including agricultural graduates) to engage in commercial agriculture and agroprocessing activities.","Empowering our Youth, Women and the Disadvantaged, Empowering our Youth","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"National Youth Scheme","Review the current design of the National Youth Service and support its implementation
	Promote internships to enhance the capacities of graduates to enable them compete effectively for jobs in the labour market
	Promote public-private partnership in the redesign and implementation of the scheme","Empowering our Youth, Women and the Disadvantaged, Empowering our Youth","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Technical and Vocational Education and Training (TVET)","The objective of TVET is to provide technical skills to youth in areas relevant for the job market as prescribed under the section on education and training.","Empowering our Youth, Empowering our Youth, Women and the Disadvantaged","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
